DBA_NAME,CLS,PBC,MAIL_ADDR_LINE1,CITY,STATE,MAIL_ZIP
DONA MAGO MEXICAN RESTAURANT,8,3079,2919 16TH ST,SAN FRANCISCO,CA,94103-3612
EL BUEN COMER,8,3079,1104 SOUTH VAN NESS AVE APT 5,SAN FRANCISCO,CA,94110-3271
MOMI TOBYS REVOLUTION CAFE,8,3079,528 LAGUNA ST,SAN FRANCISCO,CA,94102-5014
CURRY BOYZZ,8,3079,4238 18TH ST,SAN FRANCISCO,CA,94114
WHAT'S UP DOG! BEALE ST,8,3079,195 BEALE ST,SAN FRANCISCO,CA,94105-1801
LITTLE GARDEN,8,3079,750 VALLEJO ST,SAN FRANCISCO,CA,94133-3819
HAWAIIAN DRIVE INN #28,8,3079,4827 MISSION ST,SAN FRANCISCO,CA,94112-3413
KIPPU JAPANESE RESTAURANT,8,3079,1707 BUCHANAN STREET,SAN FRANCISCO,CA,94115
DOL HO RESTAURANT,8,3079,808 PACIFIC AVE,SAN FRANCISCO,CA,94133-4302
SBC PIZZA DELI,8,3079,737 3RD ST.,SAN FRANCISCO,CA,94107-1903
PERILLAS VIETNAMESE CUISINE,8,3079,836 IRVING ST,SAN FRANCISCO,CA,94122-2311
K K CAFE,8,3079,252 DIVISADERO ST,SAN FRANCISCO,CA,94117-3253
POLK STREET TEA,8,3079,1630 GUEERERI ST APT 1,SAN FRANCISCO,CA,94110-4962
VIKINGS GIANT SUB,8,3079,2906 DIAMOND ST,SAN FRANCISCO,CA,94131-3208
LOVE'N HAIGHT CAFE & DELI,8,3079,553 HAIGHT ST,SAN FRANCISCO,CA,94117-3406
CHAMPA GARDEN,8,3079,613 FAXON AVE,SAN FRANCISCO,CA,94112-1201
BELLY BURGERS,8,3079,2738 GOLDEN GATE AVE,SAN FRANCISCO,CA,94118-4109
DANIEL'S CAFE,8,3079,1549 POLK ST,SAN FRANCISCO,CA,94109-3606
ERNESTOS ITALIAN RESTAURANT,8,3079,2301 CLEMENT ST,SAN FRANCISCO,CA,94121-1919
ALL DAY CAFE,8,3079,1105 MARKET ST,SAN FRANCISCO,CA,94103-1513
PAPPATONI'S DELI,8,3079,39 ESQUINA DR,SAN FRANCISCO,CA,94134-3108
MORNING BREW CAFE,8,3079,401 SANSOME ST,SAN FRANCISCO,CA,94111-3102
JUMPIN' JAVA COFFEE HOUSE,8,3079,139 NOE ST,SAN FRANCISCO,CA,94114-1218
HONG KONG CLAY POT RESTAURANT,8,3079,960 GRANT AVE,SAN FRANCISCO,CA,94108-1302
