1461;Sonoma Raceway;29355 Arnold Drive, Sonoma, CA 95476
117102;Rickshaw Stop;155 Fell Street, San Francisco, CA 94102
33678;Redding Convention Center - Redding;700 Auditorium Drive, Redding, CA 96001
212905;SF Playhouse;533 Sutter Street, San Francisco, CA 94102
8705;The Catalyst Santa Cruz;1011 Pacific Avenue, Santa Cruz, CA 95060
8706;Phoenix Theatre - Petaluma - Petaluma;201 Washington Street, Petaluma, CA 94952
13324;Taube Tennis Stadium - Stanford University - Stanford;625 Campus Drive, Stanford, CA 94305
148908;Tachi Palace Hotel and Casino;17225 Jersey Avenue, Lemoore, CA
67982;Stockton Arena;248 West Fremont Street, Stockton, CA 95203
207495;Tulare County Fairgrounds;215 Martin Luther King Junior Avenue, Tulare, CA 93274
59482;Red Devil Lounge;1695 Polk Street  San Francisco, California 94109
8235;Turlock Community Auditorium;1574 East Canal Drive, Turlock, CA 95380
35987;San Jose Civic Auditorium;135 West San Carlos Street, San Jose, CA 95113
209407;W Hotel San Francisco;181 3rd Street, San Francisco, CA 94105
162325;Tower Theatre Fresno;815 E Olive Ave, Fresno, CA 93728
94;The Warfield - San Francisco;982 Market Street  San Francisco, California 94102
341;Wells Fargo Center For the Arts - Santa Rosa;50 Mark West Springs Road, Santa Rosa, CA 95403
221;Zellerbach Hall;101 Zellerbach Hall # 4800, Berkeley, CA 94720
11963;William Saroyan Theatre at Fresno Convention Center;700 M Street, Fresno, CA 93721
180239;Uptown Theatre Napa;1350 3rd Street, Napa, CA 94559
99398;Treasure Island;401 California Avenue, San Francisco, CA 94130
212758;Vessel;85 Campton Place, San Francisco, CA 94108
6469;Wente Concerts At The Vineyard - Livermore;5050 Arroyo Road, Livermore, CA 94550
140904;Yoshis Jazz Club - San Francisco;1330 Fillmore Street, San Francisco, CA 94115
38183;San Jose Municipal Stadium - San Jose;588 East Alma Avenue, San Jose, CA 95112
173328;The Cellar Door;1395 Broadway # D, Sonoma, CA 95476
173326;Town Hall Theatre;469 Main St,  Quincy, CA 95971
173327;Pappy and Harriets Pioneertown Palace;53688 Pioneertown Road, Pioneertown, CA 92268
129802;Rio Theatre;1205 Soquel Avenue, Santa Cruz, CA 95062
48686;Punch Line Comedy Club - San Francisco - San Francisco;444 Battery Street, San Francisco, CA 94111
